n,m,dist,random_password,raw_bytes,compressed_bytes,safe_compressed_bytes_simple,safe_compressed_bytes_advanced,unsafe_compressed_bytes_advanced
2,100,even,True,307379,16222,18981,17092
2,100,random,True,300970,16459,19072,17282
2,100,long_tail,True,265369,15944,18394,16770
2,200,even,True,611560,30669,35596,31752
2,200,random,True,608671,30423,35454,31742
2,200,long_tail,True,522658,29230,33715,30567
2,300,even,True,914851,45251,52705,46958
2,300,random,True,904014,45041,52330,46613
2,300,long_tail,True,790107,42936,49805,44401
3,100,even,True,332772,16791,20359,18271
3,100,random,True,326516,17117,20545,18453
3,100,long_tail,True,266381,16183,19272,17657
3,200,even,True,659314,31938,37772,33510
3,200,random,True,660609,31736,37668,33431
3,200,long_tail,True,526543,29507,34610,31361
3,300,even,True,992434,46801,55250,48894
3,300,random,True,967224,46151,54454,48211
3,300,long_tail,True,779526,42890,49865,45056
4,100,even,True,347244,17579,21794,19498
4,100,random,True,344775,17200,21484,19202
4,100,long_tail,True,265853,16194,19860,18224
4,200,even,True,685144,32614,39346,34996
4,200,random,True,678142,32158,38880,34268
4,200,long_tail,True,526072,29269,34975,31736
4,300,even,True,1022103,47244,56423,50056
4,300,random,True,1015678,47186,56400,49812
4,300,long_tail,True,784778,42974,50812,45974
5,100,even,True,353419,17690,22519,20129
5,100,random,True,350308,17885,22659,20310
5,100,long_tail,True,266563,15886,20331,18657
5,200,even,True,701860,33018,40364,35719
5,200,random,True,696119,33009,40260,35708
5,200,long_tail,True,526724,29936,36343,32977
5,300,even,True,1049278,48284,58214,51343
5,300,random,True,1038807,47618,57495,50778
5,300,long_tail,True,785924,43680,51955,47042
10,100,even,True,370855,18617,26684,24045
10,100,random,True,363884,18661,26791,24196
10,100,long_tail,True,267158,15817,22434,20654
10,200,even,True,735033,34033,44680,39575,34875
10,200,random,True,727650,34553,45108,40080
10,200,long_tail,True,530124,29747,39953,36487,31180
10,300,even,True,1097572,49958,63176,55943
10,300,random,True,1081952,49506,62879,55542
10,300,long_tail,True,790119,43652,55758,50568
20,100,even,True,386363,18688,34691,31498
20,100,random,True,380735,18908,34848,31644
20,100,long_tail,True,320711,17495,28354,25895
20,200,even,True,756822,36889,53624,48035
20,200,random,True,747174,35700,53098,47615
20,200,long_tail,True,652994,32280,48573,43868
20,300,even,True,1128353,52731,72176,64087
20,300,random,True,1114523,52145,71430,63525
20,300,long_tail,True,963843,47017,67043,60154
50,100,even,True,411682,20599,57070,52602
50,100,random,True,408628,20227,56493,51954
50,100,long_tail,True,369229,19103,37376,33993
50,200,even,True,786250,36830,76881,69995
50,200,random,True,775755,36563,76036,69105
50,200,long_tail,True,717836,35104,62623,56678
50,300,even,True,1160351,52762,96274,86424
50,300,random,True,1153213,53353,95507,86222
50,300,long_tail,True,1081534,50704,82604,74268
2,600,even,True,1826964,89433,103608,92135
2,600,random,True,1808671,88498,102840,91350
2,600,long_tail,True,1566636,84487,97230,87746
3,600,even,True,1976140,92302,108000,95722
3,600,random,True,1966419,92367,107777,95735
3,600,long_tail,True,1565373,84232,97708,88161
4,600,even,True,2050208,93976,110748,98124
4,600,random,True,2004351,93142,109543,97341
4,600,long_tail,True,1567512,84491,98408,88762
5,600,even,True,2106106,94223,112523,98944
5,600,random,True,2071989,94847,112500,98905
5,600,long_tail,True,1561024,86055,99575,89852
10,600,even,True,2186492,97796,119017,104859
10,600,random,True,2159562,97316,118178,103816
10,600,long_tail,True,1570662,85774,103256,93418
20,600,even,True,2233317,100217,128026,112966
20,600,random,True,2223104,100847,128225,113542
20,600,long_tail,True,1901291,92542,119583,106789
50,600,even,True,2285272,107649,153558,136759
50,600,random,True,2273886,106908,153241,136691
50,600,long_tail,True,2137295,98758,146554,131283
10,1200,even,True,4356725,197488,235855,206848
